Periodo,Region,Producto,Envasado,Presentacion,Marca,Contenido_ml,Costo_Produccion ,Precio_Venta,Total_Venta,Costo_envio,Total_a_pagar,Ganancia,Pedido
2019_OTO,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,228,45.6,273.6,68.4,1
2019_OTO,Espana,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,175,35,210,52.5,5
2019_INV,Espana,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,105,21,126,31.5,3
2019_VER,Argentina,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,59.28,515.28,136.8,2
2019_OTO,Argentina,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,210,27.3,237.3,63,6
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,228,41.04,269.04,68.4,1
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,228,41.04,269.04,68.4,1
2019_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_OTO,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,228,41.04,269.04,68.4,1
2019_OTO,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,228,41.04,269.04,68.4,1
2019_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,228,41.04,269.04,68.4,1
2019_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,82.08,538.08,136.8,2
2019_PRI,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,245,58.8,303.8,73.5,7
2019_VER,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,350,84,434,105,10
2019_VER,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,315,75.6,390.6,94.5,9
2019_VER,Japon,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,456,109.44,565.44,136.8,2
2019_VER,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,35,8.4,43.4,10.5,1
2019_VER,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,245,58.8,303.8,73.5,7
2019_OTO,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,175,42,217,52.5,5
2019_INV,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,70,16.8,86.8,21,2
2019_INV,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,140,33.6,173.6,42,4
2019_INV,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,35,8.4,43.4,10.5,1
2019_INV,Japon,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,105,25.2,130.2,31.5,3
2019_PRI,China,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,35,8.05,43.05,10.5,1
2019_VER,China,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,35,8.05,43.05,10.5,1
2019_OTO,China,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,140,32.2,172.2,42,4
2019_INV,China,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,140,32.2,172.2,42,4
2019_PRI,Australia,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,35,9.1,44.1,10.5,1
2019_VER,Australia,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,105,27.3,132.3,31.5,3
2019_OTO,Australia,Cerveza Martens Gold Regular 1 Litro,Botella,1 Litro,Martens,1000,24.5,35,35,9.1,44.1,10.5,1
2017_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,287.28,1883.28,478.8,7
2017_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,684,123.12,807.12,205.2,3
2017_VER,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,471.96,2523.96,615.6,9
2017_OTO,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,246.24,1614.24,410.4,6
2017_OTO,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,369.36,2421.36,615.6,9
2017_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,328.32,2152.32,547.2,8
2017_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,287.28,1883.28,478.8,7
2017_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,314.64,1682.64,410.4,6
2017_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,91.2,1003.2,273.6,4
2017_OTO,Japon,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,328.32,1696.32,410.4,6
2018_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,114,1254,342,5
2018_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,91.2,1003.2,273.6,4
2018_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,182.4,2006.4,547.2,8
2018_INV,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,684,68.4,752.4,205.2,3
2018_PRI,Estados unidos,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,273.6,2097.6,547.2,8
2018_VER,Estados unidos,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,684,102.6,786.6,205.2,3
2018_PRI,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,228,1368,342,5
2018_VER,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,319.2,1915.2,478.8,7
2018_INV,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,364.8,2188.8,547.2,8
2018_INV,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,273.6,1641.6,410.4,6
2018_INV,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,273.6,1641.6,410.4,6
2018_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,314.64,1682.64,410.4,6
2018_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,419.52,2243.52,547.2,8
2018_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,209.76,1121.76,273.6,4
2018_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,684,157.32,841.32,205.2,3
2018_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,314.64,1682.64,410.4,6
2018_PRI,China,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,419.52,2243.52,547.2,8
2018_VER,Japon,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,437.76,2261.76,547.2,8
2018_INV,Japon,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,273.6,1413.6,342,5
2018_OTO,Argentina,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,118.56,1030.56,273.6,4
2018_INV,Argentina,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,177.84,1545.84,410.4,6
2018_INV,Argentina,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,118.56,1030.56,273.6,4
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,296.4,1436.4,342,5
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,355.68,1723.68,410.4,6
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,474.24,2298.24,547.2,8
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,474.24,2298.24,547.2,8
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,474.24,2298.24,547.2,8
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,474.24,2298.24,547.2,8
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,474.24,2298.24,547.2,8
2018_INV,Australia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,533.52,2585.52,615.6,9
2018_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,164.16,1076.16,273.6,4
2018_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,246.24,1614.24,410.4,6
2018_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,287.28,1883.28,478.8,7
2018_VER,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,164.16,1076.16,273.6,4
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,369.36,2421.36,615.6,9
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,287.28,1883.28,478.8,7
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,684,123.12,807.12,205.2,3
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,246.24,1614.24,410.4,6
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,205.2,1345.2,342,5
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,328.32,2152.32,547.2,8
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,205.2,1345.2,342,5
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,246.24,1614.24,410.4,6
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,287.28,1883.28,478.8,7
2018_INV,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,328.32,2152.32,547.2,8
2019_PRI,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,114,1254,342,5
2019_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,205.2,2257.2,615.6,9
2019_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,182.4,2006.4,547.2,8
2019_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,159.6,1755.6,478.8,7
2019_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,114,1254,342,5
2019_VER,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,205.2,2257.2,615.6,9
2019_OTO,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,159.6,1755.6,478.8,7
2019_INV,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,159.6,1755.6,478.8,7
2019_INV,Mexico,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,684,68.4,752.4,205.2,3
2019_INV,Estados unidos,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,307.8,2359.8,615.6,9
2019_OTO,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,291.84,2115.84,547.2,8
2019_OTO,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,182.4,1322.4,342,5
2019_INV,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,291.84,2115.84,547.2,8
2019_INV,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1368,218.88,1586.88,410.4,6
2019_INV,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,255.36,1851.36,478.8,7
2019_INV,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,145.92,1057.92,273.6,4
2019_INV,Francia,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,328.32,2380.32,615.6,9
2019_PRI,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,319.2,1915.2,478.8,7
2019_PRI,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,410.4,2462.4,615.6,9
2019_VER,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,410.4,2462.4,615.6,9
2019_OTO,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,182.4,1094.4,273.6,4
2019_INV,Espana,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,410.4,2462.4,615.6,9
2019_INV,Argentina,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,148.2,1288.2,342,5
2019_INV,Argentina,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,237.12,2061.12,547.2,8
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,2052,369.36,2421.36,615.6,9
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,328.32,2152.32,547.2,8
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1596,287.28,1883.28,478.8,7
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,164.16,1076.16,273.6,4
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,328.32,2152.32,547.2,8
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1824,328.32,2152.32,547.2,8
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,912,164.16,1076.16,273.6,4
2019_PRI,Belgica,Cerveza Heineken 12 pack 355ml Botella,Botella,12 Pack 355ml,Cuahutemoc,355,159.6,228,1140,205.2,1345.2,342,5
